zona,atraccion,tiempo_espera,ultima_actualizacion,fecha,hora,dia_semana
Cartoon Village,A Toda Máquina,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Cartoon Village,Cartoon Carousel,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Cartoon Village,Correcaminos Bip Bip,20,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Cartoon Village,La Aventura de Scooby-Doo,15,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Cartoon Village,La Captura de Gossamer,10,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Cartoon Village,Looney Tunes Correo Aéreo,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Cartoon Village,Tom & Jerry Picnic en el Parque,10,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
DC Super Heroes World,Batman Gotham City Escape,40,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
DC Super Heroes World,La Venganza del Enigma,30,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
DC Super Heroes World,Shadows of Arkham,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
DC Super Heroes World,Superman La Atracción de Acero,50,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
DC Super Heroes World,The Joker Coches de Choque,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Movie World Studios,Cine Tour,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Movie World Studios,Hotel Embrujado,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Movie World Studios,Stunt Fall,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Old West Territory,Coaster Express,20,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
Old West Territory,Los Carros de la Mina,5,2025-11-08 14:45:09+00:00,2025-11-08,15:46,Saturday
